Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
210948,National authorities,30.60,30.87,Africa,Egypt,Menoufia,Nader,Centroid Admin2,2/24/2016,2/26/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,22,,22,,,,,
222412,National authorities,30.96,29.83,Africa,Egypt,Alexandria,Naga,Centroid Locality,1/10/2017,1/12/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,13000,,13000,,,,,
225291,National authorities,26.47,31.76,Africa,Egypt,Suhag,Nagaa Elwan,Centroid Admin2,3/15/2017,3/16/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,5,,5,,,,,
221490,FAO Field Officer,-6.39,107.17,Asia,Indonesia,Jawa Barat,Nagasari,Exact,10/17/2016,10/17/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,52,,,,,,
214918,OIE,7.28,-5.03,Africa,Ca큈e D'Ivoire,Lacs,Nagattakro District,Exact,5/31/2016,7/27/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",11,4,4,0,7,,,,
226422,OIE,35.18,136.91,Asia,Japan,Aiti,Nagoya-Shi,Exact,12/13/2016,4/18/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"wild,eurasian wigeon (anas penelope))",,2,2,0,0,,,,
226406,OIE,35.18,136.91,Asia,Japan,Aiti,Nagoya-Shi,Exact,12/10/2016,4/18/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"wild, goose",,1,1,0,0,,,,
226437,OIE,35.18,136.91,Asia,Japan,Aiti,Nagoya-Shi,Exact,12/17/2016,4/18/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"wild, whooper swan",,1,1,0,0,,,,
226428,OIE,35.18,136.91,Asia,Japan,Aiti,Nagoya-Shi,Exact,12/14/2016,4/18/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"wild,mute swan (cygnus olor))",,1,1,0,0,,,,
226425,OIE,35.18,136.91,Asia,Japan,Aiti,Nagoya-Shi,Exact,12/13/2016,4/18/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"wild, tundra swan",,1,1,0,0,,,,
226423,OIE,35.18,136.91,Asia,Japan,Aiti,Nagoya-Shi,Exact,12/13/2016,4/18/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"wild, tundra swan",,1,1,0,0,,,,
226398,OIE,35.18,136.91,Asia,Japan,Aiti,Nagoya-Shi,Exact,12/6/2016,4/18/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"wild,black swan (cygnus atratus))",,1,1,0,0,,,,
226392,OIE,35.18,136.91,Asia,Japan,Aiti,Nagoya-Shi,Exact,12/4/2016,4/18/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"wild,black swan (cygnus atratus))",,1,1,0,0,,,,
226384,OIE,35.18,136.91,Asia,Japan,Aiti,Nagoya-Shi,Exact,11/29/2016,4/18/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"wild,black swan (cygnus atratus))",,1,1,0,0,,,,
216622,National authorities,-6.55,107.45,Asia,Indonesia,Jawa Barat,Nagrikaler,Exact,4/1/2016,4/1/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, muscovy ducks",,5,5,,,,,,
224503,OIE,46.28,18.46,Europe,Hungary,Tolna,NagymaiNyok,Exact,1/13/2017,2/28/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild,great egret (ardea alba))",,1,1,0,0,,,,
224324,OIE,47.29,17.58,Europe,Hungary,Veszprem,Nagytevel,Exact,1/19/2017,2/24/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, turkey",27500,3366,485,27015,0,,,,
222723,OIE,32.69,35.19,Asia,Israel,Northern,Nahalal,Unknown,1/1/2017,1/23/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, turkey",28000,,700,27300,0,,,,
223006,OIE,31.77,35.00,Asia,Israel,Jerusalem,Naham,Exact,12/24/2016,12/25/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",,,,,,,,,
229292,OIE,33.01,35.10,Asia,Israel,Northern,Naharriya,Exact,6/17/2017,7/16/2017,Confirmed,Influenza - Equine,H3N8,"domestic, horse",1,1,0,0,,,,,
228423,National authorities,30.73,31.22,Africa,Egypt,Gharbia,Nahtay,Centroid Admin2,5/23/2017,5/25/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,32,,32,,,,,
225310,National authorities,16.74,107.08,Asia,Viet Nam,Quang Tri,"Nai Cuu Village, Trieu Ai Commune",Unknown,3/9/2017,3/19/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",200,130,130,70,,,0,,
227752,OIE,35.05,126.80,Asia,Republic Of Korea,Chollanam-Do,Naju-Si,Exact,3/14/2017,5/12/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",14715,15,15,14700,0,,,,
227067,OIE,35.05,126.80,Asia,Republic Of Korea,Chollanam-Do,Naju-Si,Exact,3/14/2017,4/14/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, duck",14715,15,15,14700,0,,,,
227023,OIE,35.05,126.80,Asia,Republic Of Korea,Chollanam-Do,Naju-Si,Exact,1/3/2017,4/14/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, duck",25608,0,0,25608,0,,,,
227013,OIE,35.05,126.80,Asia,Republic Of Korea,Chollanam-Do,Naju-Si,Exact,12/30/2016,4/14/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, duck",18906,33,33,18873,0,,,,
227563,OIE,35.05,126.80,Asia,Republic Of Korea,Chollanam-Do,Naju-Si,Exact,12/24/2016,5/4/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, duck",12250,,,12250,,,,,
227562,OIE,35.05,126.80,Asia,Republic Of Korea,Chollanam-Do,Naju-Si,Exact,12/24/2016,5/4/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, duck",15911,,,15911,,,,,
227547,OIE,35.05,126.80,Asia,Republic Of Korea,Chollanam-Do,Naju-Si,Exact,12/22/2016,5/4/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, duck",4696,2,2,4694,,,,,
227499,OIE,35.05,126.80,Asia,Republic Of Korea,Chollanam-Do,Naju-Si,Exact,12/16/2016,5/4/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, duck",16430,50,50,16380,0,,,,
227432,OIE,35.05,126.80,Asia,Republic Of Korea,Chollanam-Do,Naju-Si,Exact,12/10/2016,5/4/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, duck",18219,11,11,18208,0,,,,
227431,OIE,35.05,126.80,Asia,Republic Of Korea,Chollanam-Do,Naju-Si,Exact,12/10/2016,5/4/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, duck",10740,0,0,10740,0,,,,
227406,OIE,35.05,126.80,Asia,Republic Of Korea,Chollanam-Do,Naju-Si,Exact,12/7/2016,5/4/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, duck",16337,160,160,16177,0,,,,
227310,OIE,35.05,126.80,Asia,Republic Of Korea,Chollanam-Do,Naju-Si,Exact,11/28/2016,5/4/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, duck",23950,0,0,23950,0,,,,
